Name,State__c,Vehicle_Type__c,Tier__c,Coverage_Limit__c,Deductible__c,Monthly_Rate__c,Annual_Rate__c,Perk__c
Elite,Georgia,Hatchback,Elite,250000,250,223,2676,Full concierge
Ultra,Georgia,Hatchback,Ultra,500000,0,310,3720,Full concierge + Zero deductible
Basic,Georgia,Van,Basic,25000,1000,64,768,
Standard,Georgia,Van,Standard,50000,750,107,1284,Roadside
Premium,Georgia,Van,Premium,100000,500,171,2052,Roadside + Rental
Elite,Georgia,Van,Elite,250000,250,246,2952,Full concierge
Ultra,Georgia,Van,Ultra,500000,0,343,4116,Full concierge + Zero deductible
Basic,Georgia,SUV,Basic,25000,1000,70,840,
Standard,Georgia,SUV,Standard,50000,750,117,1404,Roadside
Premium,Georgia,SUV,Premium,100000,500,188,2256,Roadside + Rental
Elite,Georgia,SUV,Elite,250000,250,270,3240,Full concierge
Ultra,Georgia,SUV,Ultra,500000,0,375,4500,Full concierge + Zero deductible
Basic,Georgia,Coupe,Basic,25000,1000,73,876,
Standard,Georgia,Coupe,Standard,50000,750,122,1464,Roadside
Premium,Georgia,Coupe,Premium,100000,500,196,2352,Roadside + Rental
Elite,Georgia,Coupe,Elite,250000,250,282,3384,Full concierge
Ultra,Georgia,Coupe,Ultra,500000,0,392,4704,Full concierge + Zero deductible
Basic,Georgia,Truck,Basic,25000,1000,77,924,
Standard,Georgia,Truck,Standard,50000,750,128,1536,Roadside
Premium,Georgia,Truck,Premium,100000,500,204,2448,Roadside + Rental
Elite,Georgia,Truck,Elite,250000,250,293,3516,Full concierge
Ultra,Georgia,Truck,Ultra,500000,0,408,4896,Full concierge + Zero deductible
Basic,Georgia,Hybrid,Basic,25000,1000,67,804,
Standard,Georgia,Hybrid,Standard,50000,750,112,1344,Roadside
Premium,Georgia,Hybrid,Premium,100000,500,180,2160,Roadside + Rental
Elite,Georgia,Hybrid,Elite,250000,250,258,3096,Full concierge
Ultra,Georgia,Hybrid,Ultra,500000,0,359,4308,Full concierge + Zero deductible
Basic,Georgia,Electric,Basic,25000,1000,73,876,
Standard,Georgia,Electric,Standard,50000,750,122,1464,Roadside
Premium,Georgia,Electric,Premium,100000,500,196,2352,Roadside + Rental
Elite,Georgia,Electric,Elite,250000,250,282,3384,Full concierge
Ultra,Georgia,Electric,Ultra,500000,0,392,4704,Full concierge + Zero deductible
Basic,Georgia,Luxury,Basic,25000,1000,92,1104,
Standard,Georgia,Luxury,Standard,50000,750,153,1836,Roadside
Premium,Georgia,Luxury,Premium,100000,500,245,2940,Roadside + Rental
Elite,Georgia,Luxury,Elite,250000,250,352,4224,Full concierge
Ultra,Georgia,Luxury,Ultra,500000,0,490,5880,Full concierge + Zero deductible
Basic,Georgia,Convertible,Basic,25000,1000,86,1032,
Standard,Georgia,Convertible,Standard,50000,750,143,1716,Roadside
Premium,Georgia,Convertible,Premium,100000,500,228,2736,Roadside + Rental
Elite,Georgia,Convertible,Elite,250000,250,328,3936,Full concierge
Ultra,Georgia,Convertible,Ultra,500000,0,457,5484,Full concierge + Zero deductible
Basic,Georgia,Sports,Basic,25000,1000,98,1176,
Standard,Georgia,Sports,Standard,50000,750,163,1956,Roadside
Premium,Georgia,Sports,Premium,100000,500,261,3132,Roadside + Rental
Elite,Georgia,Sports,Elite,250000,250,375,4500,Full concierge
Ultra,Georgia,Sports,Ultra,500000,0,522,6264,Full concierge + Zero deductible
Basic,Georgia,Motorcycle,Basic,25000,1000,80,960,
Standard,Georgia,Motorcycle,Standard,50000,750,133,1596,Roadside
Premium,Georgia,Motorcycle,Premium,100000,500,212,2544,Roadside + Rental
Elite,Georgia,Motorcycle,Elite,250000,250,305,3660,Full concierge
Ultra,Georgia,Motorcycle,Ultra,500000,0,424,5088,Full concierge + Zero deductible
Basic,Arizona,Sedan,Basic,25000,1000,62,744,
Standard,Arizona,Sedan,Standard,50000,750,103,1236,Roadside
Premium,Arizona,Sedan,Premium,100000,500,165,1980,Roadside + Rental
Elite,Arizona,Sedan,Elite,250000,250,237,2844,Full concierge
Ultra,Arizona,Sedan,Ultra,500000,0,330,3960,Full concierge + Zero deductible
Basic,Arizona,Hatchback,Basic,25000,1000,59,708,
Standard,Arizona,Hatchback,Standard,50000,750,98,1176,Roadside
Premium,Arizona,Hatchback,Premium,100000,500,157,1884,Roadside + Rental
Elite,Arizona,Hatchback,Elite,250000,250,225,2700,Full concierge
Ultra,Arizona,Hatchback,Ultra,500000,0,313,3756,Full concierge + Zero deductible
Basic,Arizona,Van,Basic,25000,1000,65,780,
Standard,Arizona,Van,Standard,50000,750,108,1296,Roadside
Premium,Arizona,Van,Premium,100000,500,173,2076,Roadside + Rental
Elite,Arizona,Van,Elite,250000,250,249,2988,Full concierge
Ultra,Arizona,Van,Ultra,500000,0,346,4152,Full concierge + Zero deductible
Basic,Arizona,SUV,Basic,25000,1000,71,852,
Standard,Arizona,SUV,Standard,50000,750,118,1416,Roadside
Premium,Arizona,SUV,Premium,100000,500,190,2280,Roadside + Rental
Elite,Arizona,SUV,Elite,250000,250,272,3264,Full concierge
Ultra,Arizona,SUV,Ultra,500000,0,379,4548,Full concierge + Zero deductible
Basic,Arizona,Coupe,Basic,25000,1000,74,888,
Standard,Arizona,Coupe,Standard,50000,750,124,1488,Roadside
Premium,Arizona,Coupe,Premium,100000,500,198,2376,Roadside + Rental
Elite,Arizona,Coupe,Elite,250000,250,284,3408,Full concierge
Ultra,Arizona,Coupe,Ultra,500000,0,396,4752,Full concierge + Zero deductible
Basic,Arizona,Truck,Basic,25000,1000,77,924,
Standard,Arizona,Truck,Standard,50000,750,129,1548,Roadside
Premium,Arizona,Truck,Premium,100000,500,206,2472,Roadside + Rental
Elite,Arizona,Truck,Elite,250000,250,296,3552,Full concierge
Ultra,Arizona,Truck,Ultra,500000,0,412,4944,Full concierge + Zero deductible
Basic,Arizona,Hybrid,Basic,25000,1000,68,816,
Standard,Arizona,Hybrid,Standard,50000,750,113,1356,Roadside
Premium,Arizona,Hybrid,Premium,100000,500,181,2172,Roadside + Rental
Elite,Arizona,Hybrid,Elite,250000,250,261,3132,Full concierge
Ultra,Arizona,Hybrid,Ultra,500000,0,363,4356,Full concierge + Zero deductible
Basic,Arizona,Electric,Basic,25000,1000,74,888,
Standard,Arizona,Electric,Standard,50000,750,124,1488,Roadside
Premium,Arizona,Electric,Premium,100000,500,198,2376,Roadside + Rental
Elite,Arizona,Electric,Elite,250000,250,284,3408,Full concierge
Ultra,Arizona,Electric,Ultra,500000,0,396,4752,Full concierge + Zero deductible
Basic,Arizona,Luxury,Basic,25000,1000,93,1116,
Standard,Arizona,Luxury,Standard,50000,750,155,1860,Roadside
Premium,Arizona,Luxury,Premium,100000,500,247,2964,Roadside + Rental
Elite,Arizona,Luxury,Elite,250000,250,355,4260,Full concierge
Ultra,Arizona,Luxury,Ultra,500000,0,494,5928,Full concierge + Zero deductible
Basic,Arizona,Convertible,Basic,25000,1000,87,1044,
Standard,Arizona,Convertible,Standard,50000,750,144,1728,Roadside
